"","Naive","sNaive","SES","MA","Croston","optCroston","SBA","TSB","ADIDA","iMAPA","ES_bu","ARIMA_bu","MLP_l","RF_l","MLP_g","RF_g","ES_td","ESX","ARIMA_td","Com_b","Com_t","Com_tb","Com_lg","id","sales"
"1",0.605230821939933,0.970528446692063,0.604829898954123,0.563660318584798,0.624816034456304,0.624816034456304,0.593412460851938,0.6534011123725,0.575072264377603,0.589742046388733,0.58532606857998,0.579410896983827,0.428369275918328,0.428943399844935,1.77500856554584,0.617742368109953,0.578785553334139,0.601241328166544,0.584764484791114,0.579821924566168,0.581749996275803,0.580637015773389,0.970146483768229,1,224.94
"2",0,0.483059545196294,0.138365914890147,0.091289673216097,0.261687970841495,0.261687970841495,0.24860357229942,0.152209452715648,0.230881710647713,0.187217406526805,0.168728992709823,0.329894723360292,0.31710229043691,0.148345984982874,3.59658864217884,0.652259786526997,0.0892751390370634,0.0925421153386106,0.0901930518169995,0.249083126568712,0.0897326752628107,0.128738247737049,1.63974317587096,2,7.94
"3",0.953516297883249,0.953516297883249,0.872419113757037,1.02791099146302,0.606500678794991,0.586067097605689,0.589490035186599,0.802538584672154,0.786017701789756,0.810325248660895,0.787161619133029,0.782138390750801,0.65468050592148,0.713277100236294,2.82781345114707,1.12933349854033,0.594436400387035,0.604575729170666,0.599292664180802,0.781923703104722,0.596850022378766,0.681737704966674,1.29023711599007,3,47.52
"4",0.440145155610189,0.999221227005422,0.444286911305003,0.463698741235389,0.511622579211264,0.511622579211264,0.474318442459063,0.477552053679687,0.444286911305003,0.444286911305003,0.577397565303858,0.45506445889731,0.299751120492447,0.395886176157305,1.12616851921851,0.431003921214633,0.379254610693054,0.406196083490546,0.386152523098901,0.494820140205752,0.382685432745031,0.46884634395719,0.494003882222449,4,236.64
"5",2.00654360243291,1.02796635195894,0.705899199406809,0.492626980787493,0.504793731039766,0.561936836614939,0.467559038979135,0.721772978739341,0.482008538852587,0.591169838081502,0.532149102605941,0.372253506196714,0.615265603319252,0.402823154187703,0.583004551472062,0.847231607744633,0.467410739505677,0.497384549446858,0.47372045809937,0.443539669888009,0.470535230654243,0.498861013589484,0.265609236206627,5,109.44
"6",0.35526913474862,0.390881031599114,0.207410197549774,0.202006751888134,0.204275022602758,0.204275022602758,0.202195443885973,0.20141876606622,0.203139069954936,0.204960264617212,0.207305764335988,0.201360966329996,0.205146289225112,0.259208537404434,1.68756353112548,0.204244579922988,0.217082839947088,0.216250579989722,0.216832026869784,0.203369088062742,0.216948643038204,0.206934543169113,0.842710096155822,6,16.32
"7",1.2405545135598,0.937771065913694,0.477825562073758,0.477136351369153,0.458589144298248,0.458589144298248,0.435659687083335,0.61712345075727,0.411508074050718,0.445746314487431,3.29850185152671,0.380329077186943,0.336698849167546,0.328471347564284,2.09985700929135,0.46487232639009,0.476605873124794,0.494047011939829,0.481506258905793,1.83941288180503,0.47904848430088,1.88569999567858,0.881579080061901,7,86.68
"8",0.476310962513716,0.973224394075807,0.263993478831922,0.245295339078763,0.24536873861725,0.24536873861725,0.242825169038068,0.520402054049488,0.263993478831922,0.263993478831922,0.271036877013322,0.277022445358982,0.242618237096055,0.299537186211354,3.08675878301237,0.25364101649558,0.324566836212372,0.335837730085118,0.328956107010747,0.273983567248116,0.32672847944756,0.294494558548453,1.55828640398526,8,109.44
"9",0.15096109387568,0.795953014833878,0.151148340056882,0.34706984043422,0.148800566088079,0.148800566088079,0.146504751653133,0.18781095946791,0.177612935337421,0.163080795051126,0.138781732206069,0.170173922797862,0.334718727442585,0.342655416397732,1.94135576544629,0.580606477584551,0.286669408047026,0.295430848158249,0.28948903273548,0.150030102439318,0.288072806564322,0.195801356850935,0.826922632654292,9,44.25
"10",1.5404126506457,0.845082894551522,0.452047393876235,0.358262826365233,0.431567238279037,0.431567238279037,0.413812664592828,0.40001186609953,0.455710046032042,0.453877139956924,0.453668996382349,0.460212122794256,0.455320453489377,0.557015622721886,0.690710044069278,0.69552415386911,0.503387747777594,0.522006240825427,0.50768077555831,0.451551432527132,0.505522409152027,0.475896660736626,0.281047673486951,10,56.43
"11",0,0,0.147494928632915,0.159337102777462,0.213522438862719,0.213522438862719,0.202846316919583,0.141954387471708,0.212026400604102,0.20934119374743,0.216954243408808,0.215670269426904,0.0595499487716356,0.0408794051559734,7.26809614789429,0.523592151540479,0.0779104662284659,0.0807615583640404,0.0787115292501902,0.216162834047412,0.0783097583611791,0.14717336091864,3.60427309956133,11,3.48
"12",0,0.418867367391273,0.193653953927952,0.237475475665207,0.191446052413077,0.191446052413077,0.181873749792423,0.197510738608204,0.188629427907662,0.19069646285749,0.223707884599995,0.000942510621974014,0.38191748134787,0.234379993224629,1.28304382923099,0.33611763957172,0.193529156155838,0.200611252847472,0.195518992157683,0.111914401502221,0.194520995548469,0.205782484785142,0.450563173941561,12,32.6
